,id,contaminant,average_result,max_result,health_limit_exceeded,legal_limit_exceeded,zipcode,locations_served,supplier_name,violation,date_of_violation,number_of_people_served,health_limit_flag,legal_limit_flag
15689,53143,Nitrate & nitrite,7.24 ppm,11.7 ppm,10 ppm,10 ppm,99326,"BASIN CITY, WA",Basin City Mobile Home Court,"Over maximum contaminant level, Single SampleNitrate",2004/04/01 - 2004/06/30,400,Yes,Yes
15690,53147,Bromoform,1.82 ppb,4 ppb,. Source,80 ppb,99326,"PASCO, WA",West 15 Domestic Water Assn,Follow-up and Routine Tap Sampling,2006/01/01 - 2006/12/31,150,Yes,No
15691,53162,Lead (total),1.5 ppb,3 ppb,. Source,,99326,"PASCO, WA",Sunset Domestic Water Assn,"Over maximum contaminant level, Single SampleNitrate",2008/01/01 - 2008/12/31,45,Yes,No
15692,53165,Nitrate & nitrite,<0.01 ppm,0.01 ppm,10 ppm,10 ppm,99326,"MESA, WA",Landowners Water Association,Follow-up and Routine Tap Sampling,2005/01/01 - 2005/12/31,28,No,No
15693,53536,Selenium (total),34.42 ppb,150 ppb,50 ppb,50 ppb,93465,"OCEANO, CA",Oceano Comm Services Dist.,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/05/01 - 2006/05/31,6700,Yes,Yes
15694,53539,Arsenic (total),11.06 ppb,26 ppb,. Source,10 ppb,93465,"TEMPLETON, CA",Templeton Csd,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/11/01 - 2008/11/30,4000,Yes,Yes
15695,53732,Bromoform,0.53 ppb,2.1 ppb,. Source,80 ppb,99371,"RITZVILLE, WA",Ritzville Water Department,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/02/01 - 2006/02/28,1725,Yes,No
15696,53745,Bromoform,4.92 ppb,17 ppb,. Source,80 ppb,99371,"HATTON, WA",Town of Hatton,Follow-up and Routine Tap Sampling,2005/01/01 - 2005/12/31,105,Yes,No
15697,53746,Bromoform,2.8 ppb,4.7 ppb,. Source,80 ppb,99371,"OTHELLO, WA",Sunburst Estates Water Assn,Follow-up and Routine Tap Sampling,2004/01/01 - 2005/12/31,100,Yes,No
15698,53753,Copper,7.8 ppb,7.8 ppb,300 ppb,1000 ppb,99371,"OTHELLO, WA",Basin View Water Association,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/09/01 - 2006/09/30,60,No,No
15699,53756,Nitrate & nitrite,1.87 ppm,1.96 ppm,10 ppm,10 ppm,99371,"OTHELLO, WA",Sunset Acres Water Association,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/11/28,33,No,No
15700,53757,Bromoform,2.6 ppb,2.8 ppb,. Source,80 ppb,99371,"OTHELLO, WA",Highland Estates Water System,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2006/08/17,28,Yes,No
15701,54026,Total trihalomethanes (TTHMs),85.6 ppb,163 ppb,9.8 ppb,80 ppb,42455,"PROVIDENCE, KY",Providence Water Works,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,5349,Yes,Yes
15702,54028,Lead (total),0.3 ppb,0.9 ppb,. Source,,42455,"SEBREE, KY",Sebree Water Department,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/07/15,2096,Yes,No
15703,54033,Bromoform,0.65 ppb,1.5 ppb,. Source,80 ppb,99667,"PALMER, AK",Palmer Water System,"Failure to monitor, Routine Major (Coliform bacteria)",2005/12/01 - 2005/12/31,7159,Yes,No
15704,54036,Manganese,75.9 ppb,75.9 ppb,50 ppb,50 ppb,99667,"PALMER, AK",Equestrian Acres,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2025/12/31,950,Yes,Yes
15705,54037,Arsenic (total),15.56 ppb,22.8 ppb,. Source,10 ppb,99667,"WASILLA, AK",Meadow Brook Subdivision,Follow-up and Routine Tap Sampling,2005/07/01 - 2025/12/31,536,Yes,Yes
15706,54048,Arsenic (total),16.7 ppb,20.5 ppb,. Source,10 ppb,99667,"WASILLA, AK",Snowshoe Water System,Inadequate reporting of information to the public,2008/07/30 - 2025/12/31,90,Yes,Yes
15707,54050,Combined Uranium (mg/L),0.4 ppb,0.4 ppb,. Source,30 ppb,99667,"WASILLA, AK",Shores of Ancient Tree,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2025/12/31,89,Yes,No
15708,54055,Bromodichloromethane,0.64 ppb,1.54 ppb,. Source,80 ppb,99667,"WASILLA, AK",Wasilla Lacy Lane S/D,Inadequate reporting of information to the public,2008/07/31 - 2025/12/31,60,Yes,No
15709,54056,Arsenic (total),0.81 ppb,0.81 ppb,. Source,10 ppb,99667,"PALMER, AK",Matanuska Heights Duchess,Inadequate reporting of information to the public,2008/07/30 - 2025/12/31,49,Yes,No
15710,54058,Arsenic (total),11.73 ppb,22.3 ppb,. Source,10 ppb,99667,"PALMER, AK",Violet Circle Water Company,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2025/12/31,40,Yes,Yes
15711,54062,Combined Uranium (mg/L),0.4 ppb,0.4 ppb,. Source,30 ppb,99667,"PALMER, AK",Quiet Circle Apts/ Partnership,Treatment Technique No Certif. Operator,2006/01/01 - 2005/02/24,26,Yes,No
15712,54465,Bromoform,3.2 ppb,5.4 ppb,. Source,80 ppb,13827,"OWEGO, NY; OWEGO (V), NY",United Water of Owego,"Maximum contaminant level, Acute (Coliform bacteria)",2006/02/01 - 2006/02/28,4364,Yes,No
15713,54470,Bromoform,0.44 ppb,0.87 ppb,. Source,80 ppb,13827,"CANDOR, NY; CANDOR (V), NY",Candor Village Water Dept.,Operations Report,2007/04/01 - 2007/04/30,967,Yes,No
15714,54474,Barium (total),105 ppb,110 ppb,700 ppb,2000 ppb,13827,"OWEGO, NY; OWEGO (V), NY",Mountainview Mhp,Operations Report,2004/02/01 - 2004/02/29,250,No,No
15715,55591,Nitrate,4.88 ppm,5.92 ppm,10 ppm,10 ppm,17859,"ORANGEVILLE, PA",Orangeville N & R Center,"Failure to monitor, Routine Major (Coliform bacteria)",2004/09/01 - 2004/09/30,118,No,No
15716,54711,Total trihalomethanes (TTHMs),98.8 ppb,159.14 ppb,9.8 ppb,80 ppb,73642,"CHEYENNE, OK",Cheyenne,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,778,Yes,Yes
15717,55599,Bromoform,1.62 ppb,3.57 ppb,. Source,80 ppb,85231,"JOHNSON RANCH, AZ; MAGMA, AZ",Johnson Utilities,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/11/01 - 2005/11/30,47947,Yes,No
15718,55602,Total haloacetic acids (HAAs),0.89 ppb,2.03 ppb,0.7 ppb,60 ppb,85231,"SADDLEBROOKE, AZ",Lago Del Oro Water Co,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2005/07/01 - 2005/09/30,13251,Yes,No
15719,55603,Arsenic (total),25.8 ppb,30 ppb,. Source,10 ppb,85231,"APACHE JUNCTION, AZ",City of Apache Junction,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2006/12/06,12063,Yes,Yes
15720,55606,Di(2-ethylhexyl) phthalate,0.18 ppb,0.9 ppb,. Source,6 ppb,85231,"FLORENCE, AZ",North Florence Improvemen,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/02/01 - 2006/02/28,5124,Yes,No
15721,55607,Bromoform,4.8 ppb,4.8 ppb,. Source,80 ppb,85231,"SAN MANUEL, AZ",AZ Water Co-San Manuel,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2006/12/06,5082,Yes,No
15722,55609,Lead (total),7.51 ppb,17.74 ppb,. Source,,85231,"FLORENCE, AZ",Adoc-Florence Asp,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2006/12/06,4732,Yes,No
15723,55639,Chromium (total),1.1 ppb,1.1 ppb,100 ppb,100 ppb,85231,"WINKELMAN, AZ",Indian Hills Mobile Home,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2007/03/14,225,No,No
15724,55613,Total haloacetic acids (HAAs),5.73 ppb,8.3 ppb,0.7 ppb,60 ppb,85231,"KEARNY, AZ",Town of Kearny,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2006/12/06,2249,Yes,No
15725,55630,Nitrate,12 ppm,13 ppm,10 ppm,10 ppm,85231,"PICACHO, AZ",Picacho Peak Water Co,"Over maximum contaminant level, Single SampleNitrate",2004/01/01 - 2004/03/31,500,Yes,Yes
15726,55636,Arsenic (total),8.59 ppb,23 ppb,. Source,10 ppb,85231,"MARICOPA, AZ",Papago Butte Dwid,"Over maximum contaminant level, AverageNitrate",2005/01/01 - 2005/12/31,292,Yes,Yes
15727,55638,Lead (total),4.39 ppb,12.5 ppb,. Source,,85231,"ELOY, AZ",Villa Grande Dwid,"Over maximum contaminant level, AverageNitrate",2007/01/01 - 2007/12/31,263,Yes,No
15728,55642,Arsenic (total),1.55 ppb,1.55 ppb,. Source,10 ppb,85231,"COOLIDGE, AZ",Whispering Wind Mhp,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2007/04/10,206,Yes,No
15729,55647,Nitrate,9.5 ppm,15 ppm,10 ppm,10 ppm,85231,"CASA GRANDE, AZ; ARIZONA CITY, IN","Golden Corridor Wc, Inc.","Over maximum contaminant level, Single SampleNitrate",2005/01/01 - 2005/03/31,147,Yes,Yes
15730,55650,Arsenic (total),1.3 ppb,1.3 ppb,. Source,10 ppb,85231,"MARICOPA, AZ",Seven Ranch Dom Water Imp,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2007/07/03,95,Yes,No
15731,55665,Total trihalomethanes (TTHMs),32.96 ppb,51.7 ppb,9.8 ppb,80 ppb,45711,"ATHENS, OH",City of Athens,"Maximum contaminant level, Acute (Coliform bacteria)",2008/10/01 - 2008/10/31,22450,Yes,No
15732,55667,Total haloacetic acids (HAAs),10.56 ppb,12.5 ppb,0.7 ppb,60 ppb,45711,"NELSONVILLE, OH",Nelsonville Public Water System,"Failure to monitor, Routine Minor (Coliform bacteria)",2004/02/01 - 2004/02/29,9160,Yes,No
15733,55668,Total trihalomethanes (TTHMs),72.56 ppb,158.8 ppb,9.8 ppb,80 ppb,45711,"GLOUSTER, OH",Sunday Creek Valley Water Pws,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,3920,Yes,Yes
15734,55671,Total haloacetic acids (HAAs),3.38 ppb,4.7 ppb,0.7 ppb,60 ppb,45711,"CHAUNCEY, OH",Chauncey Public Water System,Monitoring and Reporting Disinfection Byproduct RuleTotal haloacetic acids (HAAs),2005/07/01 - 2005/09/30,1230,Yes,No
15735,55677,Total trihalomethanes (TTHMs),54.77 ppb,129.07 ppb,9.8 ppb,80 ppb,45711,"GLOUSTER, OH",Burr Oak Regional Water District,"Treatment Technique Precursor RemovalCarbon, Total-Organic",2004/10/01 - 2004/12/31,280,Yes,Yes
15736,55678,Total trihalomethanes (TTHMs),52.93 ppb,97 ppb,9.8 ppb,80 ppb,45711,"GLOUSTER, OH",Hollister Water Association Pws,Follow-up and Routine Tap Sampling,2004/01/01 - 2005/09/01,266,Yes,Yes
15737,55686,Arsenic (total),11.63 ppb,14.5 ppb,. Source,10 ppb,49274,"READING, MI",Reading,"Over maximum contaminant level, AverageArsenic (total)",2006/01/23 - 2015/03/31,1134,Yes,Yes
15738,55706,Arsenic (total),9.6 ppb,20.1 ppb,. Source,10 ppb,3230,"BOW, NH",Bow High School,Public Notification Violation for National Primary Drinking Water Regulations,2007/10/01 - 2007/10/16,750,Yes,Yes
15739,55707,Manganese,36.3 ppb,52 ppb,50 ppb,50 ppb,3230,"EPSOM, NH",Epsom Village District,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/04/01 - 2007/04/30,750,Yes,Yes
15740,55710,Radium-228,0.37 pCi/L,0.7 pCi/L,. Source,5 pCi,3230,"ANDOVER, NH",Andover Village District,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/06/01 - 2006/06/30,650,Yes,No
15741,55711,Arsenic (total),0.5 ppb,1.5 ppb,. Source,10 ppb,3230,"BOW, NH",Bow Elementary School,"Failure to monitor, Routine Major (Coliform bacteria)",2007/07/01 - 2007/09/30,641,Yes,No
15742,55717,Bromodichloromethane,0.2 ppb,1.4 ppb,. Source,80 ppb,3230,"HILL, NH",Hill Water Works,Inadequate reporting of information to the public,2006/07/01 - 2007/05/21,350,Yes,No
15743,56144,Nitrate,0.7 ppm,1.4 ppm,10 ppm,10 ppm,35133,"SNEAD, AL",Snead Water Works,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/01/01 - 2004/01/31,4905,No,No
15744,55752,Arsenic (total),3.12 ppb,11.7 ppb,. Source,10 ppb,3230,"HENNIKER, NH",Wood Hill Village,Optimal Corrosion Control Treatment Study Recommendation,2004/01/01 - 2005/06/07,91,Yes,Yes
15745,55758,Arsenic (total),12.2 ppb,29.6 ppb,. Source,10 ppb,3230,"BOW, NH",Evergreen Drive Water Co,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/03/01 - 2004/03/31,80,Yes,Yes
15746,55762,Arsenic (total),7.96 ppb,13 ppb,. Source,10 ppb,3230,"PITTSFIELD, NH",Griggs Mobile Homes,Failure to monitor regularlyArsenic (total),2005/01/01 - 2005/03/31,73,Yes,Yes
15747,55763,Arsenic (total),3 ppb,3 ppb,. Source,10 ppb,3230,"BOW, NH",Grappone Ford Complex,Public Education,2006/11/01 - 2007/04/27,71,Yes,No
15748,55773,Arsenic (total),22.6 ppb,29 ppb,. Source,10 ppb,3230,"HOOKSETT, NH",Poultry Products,"Over maximum contaminant level, AverageArsenic (total)",2007/01/01 - 2007/03/31,50,Yes,Yes
15749,55792,Manganese,1945.75 ppb,3690 ppb,50 ppb,50 ppb,3230,"CANTERBURY, NH",Canterbury Housing Assoc,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/09/24,25,Yes,Yes
15750,55804,Total trihalomethanes (TTHMs),8.34 ppb,226.8 ppb,9.8 ppb,80 ppb,34956,"STUART, FL",Stuart City of - Water Plant,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/10/01 - 2008/10/31,19000,Yes,Yes
15751,55811,Total haloacetic acids (HAAs),48.1 ppb,136 ppb,0.7 ppb,60 ppb,34956,"INDIANTOWN, FL",St. Lucie Mobile Village,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2006/04/01 - 2006/06/30,750,Yes,Yes
15752,55823,Total haloacetic acids (HAAs),20.38 ppb,51.2 ppb,0.7 ppb,60 ppb,34956,"JENSEN BEACH, FL",Palm Circle Cottages and Mhp,Monitoring and Reporting Disinfection Byproduct RuleTotal haloacetic acids (HAAs),2005/07/01 - 2005/09/30,99,Yes,No
15753,56066,Bromodichloromethane,16 ppb,20 ppb,. Source,80 ppb,58363,"CANDO, ND",City of Cando,Inadequate reporting of information to the public,2006/10/02 - 2006/12/08,1342,Yes,No
15754,56067,Copper,457.5 ppb,1010 ppb,300 ppb,1000 ppb,58363,"ROCKLAKE (CORPORATE NAME FOR R, ND",City of Rock Lake,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/05/01 - 2004/05/31,194,Yes,Yes
15755,56070,Lead (total),4.87 ppb,9.29 ppb,. Source,,59072,"ROUNDUP, MT",Roundup Water Department,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/08/18,1931,Yes,No
15756,56071,Total trihalomethanes (TTHMs),71.88 ppb,123 ppb,9.8 ppb,80 ppb,59072,"MELSTONE, MT",Town of Melstone,Filter Turbidity Reporting,2006/01/01 - 2006/01/31,170,Yes,Yes
15757,56072,Lead (total),0.77 ppb,1.2 ppb,. Source,,59072,"MUSSELSHELL, MT",Musselshell Water System,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/06/01 - 2004/06/30,75,Yes,No
15758,56149,Total trihalomethanes (TTHMs),5.93 ppb,5.93 ppb,9.8 ppb,80 ppb,35133,"HAYDEN, AL",Hayden Water Works,"Failure to monitor, Routine Minor (Coliform bacteria)",2004/08/01 - 2004/08/31,1821,No,No
15759,56164,Total haloacetic acids (HAAs),4.68 ppb,9.1 ppb,0.7 ppb,60 ppb,47923,"MONTICELLO, IN",Monticello Water Works,"Failure to monitor, Routine Minor (Coliform bacteria)",2004/01/01 - 2004/01/31,6480,Yes,No
15760,56165,Total haloacetic acids (HAAs),7.23 ppb,13.17 ppb,0.7 ppb,60 ppb,47923,"MONON, IN",Monon Water Utility,Inadequate reporting of information to the public,2005/11/09 - 2006/10/13,1890,Yes,No
15761,56167,Radium-228,0.5 pCi/L,0.6 pCi/L,. Source,5 pCi,47923,"WOLCOTT, IN",Wolcott Water Works,Inadequate reporting of information to the public,2006/09/07 - 2006/10/10,989,Yes,No
15762,56368,Total haloacetic acids (HAAs),3.45 ppb,6.9 ppb,0.7 ppb,60 ppb,44864,"JEROMESVILLE, OH",Village of Jeromesville,Inadequate reporting of information to the public,2005/08/31 - 2007/07/13,584,Yes,No
15763,56369,Total haloacetic acids (HAAs),4.4 ppb,7.2 ppb,0.7 ppb,60 ppb,44864,"HAYESVILLE, OH",Village of Hayesville,Optimal Corrosion Control Treatment Study Recommendation,2008/04/01 - 2008/05/30,457,Yes,No
15764,56372,Manganese,84.06 ppb,233 ppb,50 ppb,50 ppb,44864,"LOUDONVILLE, OH",Mohican River Estates,Inadequate reporting of information to the public,2005/07/01 - 2007/06/20,160,Yes,Yes
15765,56375,Bromodichloromethane,0.4 ppb,0.8 ppb,. Source,80 ppb,44864,"ASHLAND, OH",Heartland Home-Ashland County Home,Inadequate reporting of information to the public,2005/07/01 - 2007/07/11,73,Yes,No
15766,57059,Manganese,54.75 ppb,239 ppb,50 ppb,50 ppb,27515,"EFLAND, NC",Orange-Alamance Water System,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2008/07/01 - 2008/09/30,9000,Yes,Yes
15767,57062,Total trihalomethanes (TTHMs),78.41 ppb,150 ppb,9.8 ppb,80 ppb,27515,"CHAPEL HILL, NC",Beechwood Cove/Polks Landing,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/07/01 - 2005/09/30,333,Yes,Yes
15768,57102,Total haloacetic acids (HAAs),0.67 ppb,2 ppb,0.7 ppb,60 ppb,27515,"CHAPEL HILL, NC",Homestead Mhp,Monitoring and Reporting Disinfection Byproduct RuleTotal trihalomethanes (TTHMs),2005/01/01 - 2005/12/31,25,Yes,No
15769,57064,Manganese,84.8 ppb,210 ppb,50 ppb,50 ppb,27515,"CHAPEL HILL, NC",Colvard Farms S/D,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/10/26,302,Yes,Yes
15770,57076,Di(2-ethylhexyl) phthalate,0.34 ppb,1.35 ppb,. Source,6 ppb,27515,"CHAPEL HILL, NC",Lake Jordan Mhp,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/08/01 - 2005/08/31,95,Yes,No
15771,57085,Manganese,242.5 ppb,405 ppb,50 ppb,50 ppb,27515,"CHAPEL HILL, NC",The Ranch Mhp,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/08/12,77,Yes,Yes
15772,57086,Di(2-ethylhexyl) phthalate,0.32 ppb,3.89 ppb,. Source,6 ppb,27515,"CHAPEL HILL, NC",Euglena Junction,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/10/17,70,Yes,No
15773,57087,Lead (total),1.33 ppb,4 ppb,. Source,,27515,"HILLSBOROUGH, NC",Hill Top Mhp,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2004/01/01 - 2004/03/31,70,Yes,No
15774,57098,Manganese,150 ppb,160 ppb,50 ppb,50 ppb,27515,"CHAPEL HILL, NC",Mannsfield Condominiums,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2005/01/01 - 2005/03/31,41,Yes,Yes
15775,57130,Manganese,234.29 ppb,320 ppb,50 ppb,50 ppb,61543,"LEWISTOWN, IL",Lewistown,Inadequate reporting of information to the public,2005/07/01 - 2005/09/21,2531,Yes,Yes
15776,57133,Manganese,56.45 ppb,97.35 ppb,50 ppb,50 ppb,61543,"AVON, IL",Avon,Initial Water Quality Parameter Monitoring and Reporting,2007/01/01 - 2007/06/30,900,Yes,Yes
15777,57241,Nitrate & nitrite,0.17 ppm,0.19 ppm,10 ppm,10 ppm,87522,"CUNDIYO, NM",Cundiyo Mdwca,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/08/17,65,No,No
15778,57302,Total trihalomethanes (TTHMs),68.66 ppb,123.2 ppb,9.8 ppb,80 ppb,74005,"BARTLESVILLE, OK",Bartlesville,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2004/01/01 - 2004/03/31,34748,Yes,Yes
15779,57763,Copper,87.85 ppb,94.29 ppb,300 ppb,1000 ppb,73503,"STERLING, OK",Sterling Pwa,"Failure to monitor, Routine Minor (Coliform bacteria)",2004/01/01 - 2004/01/31,762,No,No
15780,58963,Copper,80.5 ppb,161 ppb,300 ppb,1000 ppb,98832,"SOAP LAKE, WA",Lakeview Park Water Assn,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/10/01 - 2005/10/31,1041,No,No
15781,58502,Total haloacetic acids (HAAs),53.67 ppb,113.93 ppb,0.7 ppb,60 ppb,27549,"LOUISBURG, NC",Town of Louisburg,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2008/07/01 - 2008/09/30,3863,Yes,Yes
15782,58503,Total trihalomethanes (TTHMs),67.52 ppb,185 ppb,9.8 ppb,80 ppb,27549,"FRANKLINTON, NC",Town of Franklinton,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/07/01 - 2005/09/30,2700,Yes,Yes
15783,58514,Copper,559.7 ppb,1266 ppb,300 ppb,1000 ppb,27549,"LOUISBURG, NC",Carebridge Assisted Living Community,Optimal Corrosion Control Treatment Study Recommendation,2004/01/01 - 2005/04/18,80,Yes,Yes
15784,58543,Total trihalomethanes (TTHMs),161.5 ppb,161.5 ppb,9.8 ppb,80 ppb,74362,"PRYOR, OK",Pryor East Rwd #1,"Failure to monitor, Routine Major (Coliform bacteria)",2007/08/01 - 2007/08/31,125,Yes,Yes
15785,58883,Nitrate,0.03 ppm,0.05 ppm,10 ppm,10 ppm,75462,"PETTY, TX",Petty Wsc,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2005/03/31,186,No,No
15786,58959,Bromoform,12.26 ppb,20.45 ppb,. Source,80 ppb,98832,"ROYAL CITY, WA",Royal City Water,Failure to monitor regularlyNitrate,2006/01/01 - 2006/12/31,1870,Yes,No
15787,58984,Lead (total),2.4 ppb,4.8 ppb,. Source,,98832,"MOSES LAKE, WA",Skyline Acres Inc,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2006/08/18,151,Yes,No
15788,58986,Combined Radium (-226 & -228),0.81 pCi/L,0.93 pCi/L,. Source,5 pCi,98832,"QUINCY, WA",Sunland Estates Homeowners Assn,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/11/13,150,Yes,No
15789,58988,Nitrate & nitrite,6.37 ppm,6.95 ppm,10 ppm,10 ppm,98832,"QUINCY, WA",Golden Valley Water Assn,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/06/01 - 2007/06/30,128,No,No
15790,58989,Nitrate & nitrite,9.64 ppm,12.7 ppm,10 ppm,10 ppm,98832,"BEVERLY, WA",Beverly Water District,"Over maximum contaminant level, Single SampleNitrate",2004/10/01 - 2004/12/31,120,Yes,Yes
15791,58991,Alpha particle activity,3.05 pCi/L,3.3 pCi/L,. Source,15 pCi,98832,"WENATCHEE, WA",Desert Villa,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/07/01 - 2008/07/31,100,Yes,No
15792,59000,Bromoform,3.5 ppb,4.8 ppb,. Source,80 ppb,98832,"MOSES LAKE, WA",Admiral Water Users Assn,"Maximum contaminant level, Acute (Coliform bacteria)",2006/07/01 - 2006/07/31,74,Yes,No
15793,59003,Lead (total),0.67 ppb,1.5 ppb,. Source,,98832,"EPHRATA, WA",Painted Hills Water Association,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/11/01 - 2006/11/30,67,Yes,No
15794,59010,DCPA di acid degradate,1.53 ppb,2.22 ppb,,. State,98832,"WARDEN, WA",Sage Hills Estates 1,Failure to monitor regularlyNitrate,2006/01/01 - 2006/12/31,38,No,No
15795,59016,Alpha particle activity,8.35 pCi/L,10.9 pCi/L,. Source,15 pCi,98832,"ELECTRIC CITY, WA",Lake Ridge Hills Water Assn,Failure to monitor regularlyDiquat,2005/01/01 - 2007/12/31,29,Yes,No
15796,59019,Nitrate & nitrite,5.5 ppm,13.3 ppm,10 ppm,10 ppm,98832,"FEDERAL WAY, WA",Sun Desert Inc,Failure to monitor regularlyNitrate,2006/01/01 - 2006/12/31,25,Yes,Yes
15797,59020,Arsenic (total),1 ppb,1 ppb,. Source,10 ppb,57036,"PARKER, SD",Parker,Treatment Technique No Certif. Operator,2006/04/26 - 2007/08/29,1031,Yes,No
15798,59071,Arsenic (total),0.63 ppb,7 ppb,. Source,10 ppb,44270,"CRESTON, OH",Village of Creston,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/10/01 - 2007/10/31,2160,Yes,No
15799,59084,Arsenic (total),6.93 ppb,19 ppb,. Source,10 ppb,44270,"RITTMAN, OH",Apostolic Christian Home,"Over maximum contaminant level, AverageArsenic (total)",2006/10/01 - 2006/12/31,240,Yes,Yes
15800,59095,Arsenic (total),1.75 ppb,3.5 ppb,. Source,10 ppb,44270,"ORRVILLE, OH",Whispering Pines Estates - Orrville Pws,"Failure to monitor, Routine Major (Coliform bacteria)",2005/03/01 - 2005/03/31,100,Yes,No
15801,59097,Total trihalomethanes (TTHMs),20.16 ppb,149 ppb,9.8 ppb,80 ppb,44270,"WOOSTER, OH",Wayne County Care Center,Monitoring and Reporting Disinfection Byproduct RuleTotal haloacetic acids (HAAs),2005/10/01 - 2005/12/31,86,Yes,Yes
15802,59234,Alpha particle activity,0.69 pCi/L,0.74 pCi/L,. Source,15 pCi,96035,"CORNING, CA",City of Corning,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/02/01 - 2004/02/29,6272,Yes,No
15803,59236,Arsenic (total),10.29 ppb,12.5 ppb,. Source,10 ppb,96035,"LOS MOLINOS, CA",Los Molinos Comm. Services Dist.,"Over maximum contaminant level, AverageArsenic (total)",2008/01/01 - 2008/03/31,1250,Yes,Yes
15804,59480,Bromodichloromethane,9.45 ppb,15 ppb,. Source,80 ppb,52319,"IOWA CITY, IA",Iowa City Water Department,Failure to monitor regularlyNitrate,2007/05/01 - 2007/05/31,57719,Yes,No
15805,59483,Copper,468.29 ppb,755 ppb,300 ppb,1000 ppb,52319,"NORTH LIBERTY, IA",North Liberty Water Supply,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2005/01/01 - 2005/03/31,8000,Yes,No
15806,59485,Copper,537.15 ppb,811.75 ppb,300 ppb,1000 ppb,52319,"TIFFIN, IA",Tiffin Water Supply,Failure to monitor regularlyTotal trihalomethanes (TTHMs),2005/07/01 - 2007/08/31,1300,Yes,No
15807,59500,Lead (total),0.67 ppb,1 ppb,. Source,,52319,"SOLON, IA",Coralville Lake Manor,Failure to monitor regularlyTotal trihalomethanes (TTHMs),2005/07/01 - 2007/08/31,170,Yes,No
